PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
116,0,3,1,21.0,0,0,7.925,75.0,2.0
117,0,3,1,70.5,0,0,7.75,75.0,1.0
118,0,2,1,29.0,1,0,21.0,75.0,2.0
119,0,1,1,24.0,0,1,247.5208,36.0,0.0
121,0,2,1,21.0,2,0,73.5,75.0,2.0
122,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
123,0,2,1,32.5,1,0,30.0708,75.0,0.0
125,0,1,1,54.0,0,1,77.2875,98.0,2.0
127,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
130,0,3,1,45.0,0,0,6.975,75.0,2.0
131,0,3,1,33.0,0,0,7.8958,75.0,0.0
132,0,3,1,20.0,0,0,7.05,75.0,2.0
135,0,2,1,25.0,0,0,13.0,75.0,2.0
136,0,2,1,23.0,0,0,15.0458,75.0,0.0
138,0,1,1,37.0,1,0,53.1,55.0,2.0
139,0,3,1,16.0,0,0,9.2167,75.0,2.0
140,0,1,1,24.0,0,0,79.2,45.0,0.0
144,0,3,1,19.0,0,0,6.75,75.0,1.0
145,0,2,1,18.0,0,0,11.5,75.0,2.0
146,0,2,1,19.0,1,1,36.75,75.0,2.0
149,0,2,1,36.5,0,2,26.0,141.0,2.0
150,0,2,1,42.0,0,0,13.0,75.0,2.0
151,0,2,1,51.0,0,0,12.525,75.0,2.0
153,0,3,1,55.5,0,0,8.05,75.0,2.0
154,0,3,1,40.5,0,2,14.5,75.0,2.0
155,0,3,1,29.69911764705882,0,0,7.3125,75.0,2.0
156,0,1,1,51.0,0,1,61.3792,75.0,0.0
158,0,3,1,30.0,0,0,8.05,75.0,2.0
159,0,3,1,29.69911764705882,0,0,8.6625,75.0,2.0
160,0,3,1,29.69911764705882,8,2,69.55,75.0,2.0
161,0,3,1,44.0,0,1,16.1,75.0,2.0
163,0,3,1,26.0,0,0,7.775,75.0,2.0
164,0,3,1,17.0,0,0,8.6625,75.0,2.0
165,0,3,1,1.0,4,1,39.6875,75.0,2.0
169,0,1,1,29.69911764705882,0,0,25.925,75.0,2.0
170,0,3,1,28.0,0,0,56.4958,75.0,2.0
171,0,1,1,61.0,0,0,33.5,18.0,2.0
172,0,3,1,4.0,4,1,29.125,75.0,1.0
174,0,3,1,21.0,0,0,7.925,75.0,2.0
175,0,1,1,56.0,0,0,30.6958,14.0,0.0
176,0,3,1,18.0,1,1,7.8542,75.0,2.0
177,0,3,1,29.69911764705882,3,1,25.4667,75.0,2.0
179,0,2,1,30.0,0,0,13.0,75.0,2.0
180,0,3,1,36.0,0,0,0.0,75.0,2.0
182,0,2,1,29.69911764705882,0,0,15.05,75.0,0.0
183,0,3,1,9.0,4,2,31.3875,75.0,2.0
186,0,1,1,29.69911764705882,0,0,50.0,9.0,2.0
189,0,3,1,40.0,1,1,15.5,75.0,1.0
190,0,3,1,36.0,0,0,7.8958,75.0,2.0
192,0,2,1,19.0,0,0,13.0,75.0,2.0
197,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
198,0,3,1,42.0,0,1,8.4042,75.0,2.0
201,0,3,1,28.0,0,0,9.5,75.0,2.0
202,0,3,1,29.69911764705882,8,2,69.55,75.0,2.0
203,0,3,1,34.0,0,0,6.4958,75.0,2.0
204,0,3,1,45.5,0,0,7.225,75.0,0.0
207,0,3,1,32.0,1,0,15.85,75.0,2.0
211,0,3,1,24.0,0,0,7.05,75.0,2.0
213,0,3,1,22.0,0,0,7.25,75.0,2.0
214,0,2,1,30.0,0,0,13.0,75.0,2.0
215,0,3,1,29.69911764705882,1,0,7.75,75.0,1.0
218,0,2,1,42.0,1,0,27.0,75.0,2.0
220,0,2,1,30.0,0,0,10.5,75.0,2.0
222,0,2,1,27.0,0,0,13.0,75.0,2.0
223,0,3,1,51.0,0,0,8.05,75.0,2.0
224,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
226,0,3,1,22.0,0,0,9.35,75.0,2.0
228,0,3,1,20.5,0,0,7.25,75.0,2.0
229,0,2,1,18.0,0,0,13.0,75.0,2.0
232,0,3,1,29.0,0,0,7.775,75.0,2.0
233,0,2,1,59.0,0,0,13.5,75.0,2.0
235,0,2,1,24.0,0,0,10.5,75.0,2.0
237,0,2,1,44.0,1,0,26.0,75.0,2.0
239,0,2,1,19.0,0,0,10.5,75.0,2.0
240,0,2,1,33.0,0,0,12.275,75.0,2.0
243,0,2,1,29.0,0,0,10.5,75.0,2.0
244,0,3,1,22.0,0,0,7.125,75.0,2.0
245,0,3,1,30.0,0,0,7.225,75.0,0.0
246,0,1,1,44.0,2,0,90.0,78.0,1.0
250,0,2,1,54.0,1,0,26.0,75.0,2.0
251,0,3,1,29.69911764705882,0,0,7.25,75.0,2.0
253,0,1,1,62.0,0,0,26.55,83.0,2.0
254,0,3,1,30.0,1,0,16.1,75.0,2.0
261,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
263,0,1,1,52.0,1,1,79.65,134.0,2.0
264,0,1,1,40.0,0,0,0.0,46.0,2.0
266,0,2,1,36.0,0,0,10.5,75.0,2.0
267,0,3,1,16.0,4,1,39.6875,75.0,2.0
271,0,1,1,29.69911764705882,0,0,31.0,75.0,2.0
274,0,1,1,37.0,0,1,29.7,54.0,0.0
278,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
279,0,3,1,7.0,4,1,29.125,75.0,1.0
281,0,3,1,65.0,0,0,7.75,75.0,1.0
282,0,3,1,28.0,0,0,7.8542,75.0,2.0
283,0,3,1,16.0,0,0,9.5,75.0,2.0
285,0,1,1,29.69911764705882,0,0,26.0,3.0,2.0
286,0,3,1,33.0,0,0,8.6625,75.0,0.0
288,0,3,1,22.0,0,0,7.8958,75.0,2.0
293,0,2,1,36.0,0,0,12.875,90.0,0.0
295,0,3,1,24.0,0,0,7.8958,75.0,2.0
296,0,1,1,29.69911764705882,0,0,27.7208,75.0,0.0
297,0,3,1,23.5,0,0,7.2292,75.0,0.0
303,0,3,1,19.0,0,0,0.0,75.0,2.0
305,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
309,0,2,1,30.0,1,0,24.0,75.0,0.0
314,0,3,1,28.0,0,0,7.8958,75.0,2.0
315,0,2,1,43.0,1,1,26.25,75.0,2.0
318,0,2,1,54.0,0,0,14.0,75.0,2.0
321,0,3,1,22.0,0,0,7.25,75.0,2.0
322,0,3,1,27.0,0,0,7.8958,75.0,2.0
325,0,3,1,29.69911764705882,8,2,69.55,75.0,2.0
327,0,3,1,61.0,0,0,6.2375,75.0,2.0
332,0,1,1,45.5,0,0,28.5,56.0,2.0
333,0,1,1,38.0,0,1,153.4625,85.0,2.0
334,0,3,1,16.0,2,0,18.0,75.0,2.0
336,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
337,0,1,1,29.0,1,0,66.6,61.0,2.0
340,0,1,1,45.0,0,0,35.5,146.0,2.0
343,0,2,1,28.0,0,0,13.0,75.0,2.0
344,0,2,1,25.0,0,0,13.0,75.0,2.0
345,0,2,1,36.0,0,0,13.0,75.0,2.0
350,0,3,1,42.0,0,0,8.6625,75.0,2.0
351,0,3,1,23.0,0,0,9.225,75.0,2.0
352,0,1,1,29.69911764705882,0,0,35.0,59.0,2.0
353,0,3,1,15.0,1,1,7.2292,75.0,0.0
354,0,3,1,25.0,1,0,17.8,75.0,2.0
355,0,3,1,29.69911764705882,0,0,7.225,75.0,0.0
356,0,3,1,28.0,0,0,9.5,75.0,2.0
361,0,3,1,40.0,1,4,27.9,75.0,2.0
362,0,2,1,29.0,1,0,27.7208,75.0,0.0
364,0,3,1,35.0,0,0,7.05,75.0,2.0
365,0,3,1,29.69911764705882,1,0,15.5,75.0,1.0
366,0,3,1,30.0,0,0,7.25,75.0,2.0
372,0,3,1,18.0,1,0,6.4958,75.0,2.0
373,0,3,1,19.0,0,0,8.05,75.0,2.0
374,0,1,1,22.0,0,0,135.6333,75.0,0.0
378,0,1,1,27.0,0,2,211.5,79.0,0.0
379,0,3,1,20.0,0,0,4.0125,75.0,0.0
380,0,3,1,19.0,0,0,7.775,75.0,2.0
383,0,3,1,32.0,0,0,7.925,75.0,2.0
385,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
386,0,2,1,18.0,0,0,73.5,75.0,2.0
387,0,3,1,1.0,5,2,46.9,75.0,2.0
389,0,3,1,29.69911764705882,0,0,7.7292,75.0,1.0
393,0,3,1,28.0,2,0,7.925,75.0,2.0
396,0,3,1,22.0,0,0,7.7958,75.0,2.0
398,0,2,1,46.0,0,0,26.0,75.0,2.0
399,0,2,1,23.0,0,0,10.5,75.0,2.0
402,0,3,1,26.0,0,0,8.05,75.0,2.0
404,0,3,1,28.0,1,0,15.85,75.0,2.0
406,0,2,1,34.0,1,0,21.0,75.0,2.0
407,0,3,1,51.0,0,0,7.75,75.0,2.0
409,0,3,1,21.0,0,0,7.775,75.0,2.0
411,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
412,0,3,1,29.69911764705882,0,0,6.8583,75.0,1.0
414,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
419,0,2,1,30.0,0,0,13.0,75.0,2.0
421,0,3,1,29.69911764705882,0,0,7.8958,75.0,0.0
422,0,3,1,21.0,0,0,7.7333,75.0,1.0
423,0,3,1,29.0,0,0,7.875,75.0,2.0
425,0,3,1,18.0,1,1,20.2125,75.0,2.0
426,0,3,1,29.69911764705882,0,0,7.25,75.0,2.0
429,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
434,0,3,1,17.0,0,0,7.125,75.0,2.0
435,0,1,1,50.0,1,0,55.9,128.0,2.0
439,0,1,1,64.0,1,4,263.0,63.0,2.0
440,0,2,1,31.0,0,0,10.5,75.0,2.0
442,0,3,1,20.0,0,0,9.5,75.0,2.0
443,0,3,1,25.0,1,0,7.775,75.0,2.0
451,0,2,1,36.0,1,2,27.75,75.0,2.0
452,0,3,1,29.69911764705882,1,0,19.9667,75.0,2.0
453,0,1,1,30.0,0,0,27.75,53.0,0.0
455,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
457,0,1,1,65.0,0,0,26.55,126.0,2.0
460,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
462,0,3,1,34.0,0,0,8.05,75.0,2.0
463,0,1,1,47.0,0,0,38.5,133.0,2.0
464,0,2,1,48.0,0,0,13.0,75.0,2.0
465,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
466,0,3,1,38.0,0,0,7.05,75.0,2.0
467,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
468,0,1,1,56.0,0,0,26.55,75.0,2.0
469,0,3,1,29.69911764705882,0,0,7.725,75.0,1.0
471,0,3,1,29.69911764705882,0,0,7.25,75.0,2.0
472,0,3,1,38.0,0,0,8.6625,75.0,2.0
476,0,1,1,29.69911764705882,0,0,52.0,1.0,2.0
477,0,2,1,34.0,1,0,21.0,75.0,2.0
478,0,3,1,29.0,1,0,7.0458,75.0,2.0
479,0,3,1,22.0,0,0,7.5208,75.0,2.0
481,0,3,1,9.0,5,2,46.9,75.0,2.0
482,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
483,0,3,1,50.0,0,0,8.05,75.0,2.0
488,0,1,1,58.0,0,0,29.7,25.0,0.0
489,0,3,1,30.0,0,0,8.05,75.0,2.0
491,0,3,1,29.69911764705882,1,0,19.9667,75.0,2.0
492,0,3,1,21.0,0,0,7.25,75.0,2.0
493,0,1,1,55.0,0,0,30.5,64.0,2.0
494,0,1,1,71.0,0,0,49.5042,75.0,0.0
495,0,3,1,21.0,0,0,8.05,75.0,2.0
496,0,3,1,29.69911764705882,0,0,14.4583,75.0,0.0
498,0,3,1,29.69911764705882,0,0,15.1,75.0,2.0
500,0,3,1,24.0,0,0,7.7958,75.0,2.0
501,0,3,1,17.0,0,0,8.6625,75.0,2.0
506,0,1,1,18.0,1,0,108.9,74.0,0.0
509,0,3,1,28.0,0,0,22.525,75.0,2.0
512,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
515,0,3,1,24.0,0,0,7.4958,75.0,2.0
516,0,1,1,47.0,0,0,34.0208,106.0,2.0
518,0,3,1,29.69911764705882,0,0,24.15,75.0,1.0
520,0,3,1,32.0,0,0,7.8958,75.0,2.0
522,0,3,1,22.0,0,0,7.8958,75.0,2.0
523,0,3,1,29.69911764705882,0,0,7.225,75.0,0.0
525,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
526,0,3,1,40.5,0,0,7.75,75.0,1.0
528,0,1,1,29.69911764705882,0,0,221.7792,88.0,2.0
529,0,3,1,39.0,0,0,7.925,75.0,2.0
530,0,2,1,23.0,2,1,11.5,75.0,2.0
532,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
533,0,3,1,17.0,1,1,7.2292,75.0,0.0
537,0,1,1,45.0,0,0,26.55,26.0,2.0
539,0,3,1,29.69911764705882,0,0,14.5,75.0,2.0
545,0,1,1,50.0,1,0,106.425,82.0,0.0
546,0,1,1,64.0,0,0,26.0,75.0,2.0
549,0,3,1,33.0,1,1,20.525,75.0,2.0
552,0,2,1,27.0,0,0,26.0,75.0,2.0
553,0,3,1,29.69911764705882,0,0,7.8292,75.0,1.0
556,0,1,1,62.0,0,0,26.55,75.0,2.0
558,0,1,1,29.69911764705882,0,0,227.525,75.0,0.0
561,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
562,0,3,1,40.0,0,0,7.8958,75.0,2.0
563,0,2,1,28.0,0,0,13.5,75.0,2.0
564,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
566,0,3,1,24.0,2,0,24.15,75.0,2.0
567,0,3,1,19.0,0,0,7.8958,75.0,2.0
569,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
575,0,3,1,16.0,0,0,8.05,75.0,2.0
576,0,3,1,19.0,0,0,14.5,75.0,2.0
583,0,2,1,54.0,0,0,26.0,75.0,2.0
584,0,1,1,36.0,0,0,40.125,0.0,0.0
585,0,3,1,29.69911764705882,0,0,8.7125,75.0,0.0
587,0,2,1,47.0,0,0,15.0,75.0,2.0
589,0,3,1,22.0,0,0,8.05,75.0,2.0
590,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
591,0,3,1,35.0,0,0,7.125,75.0,2.0
593,0,3,1,47.0,0,0,7.25,75.0,2.0
595,0,2,1,37.0,1,0,26.0,75.0,2.0
596,0,3,1,36.0,1,1,24.15,75.0,2.0
598,0,3,1,49.0,0,0,0.0,75.0,2.0
599,0,3,1,29.69911764705882,0,0,7.225,75.0,0.0
602,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
603,0,1,1,29.69911764705882,0,0,42.4,75.0,2.0
604,0,3,1,44.0,0,0,8.05,75.0,2.0
606,0,3,1,36.0,1,0,15.55,75.0,2.0
607,0,3,1,30.0,0,0,7.8958,75.0,2.0
612,0,3,1,29.69911764705882,0,0,7.05,75.0,2.0
614,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
615,0,3,1,35.0,0,0,8.05,75.0,2.0
617,0,3,1,34.0,1,1,14.4,75.0,2.0
620,0,2,1,26.0,0,0,10.5,75.0,2.0
621,0,3,1,27.0,1,0,14.4542,75.0,0.0
624,0,3,1,21.0,0,0,7.8542,75.0,2.0
625,0,3,1,21.0,0,0,16.1,75.0,2.0
626,0,1,1,61.0,0,0,32.3208,110.0,2.0
627,0,2,1,57.0,0,0,12.35,75.0,1.0
629,0,3,1,26.0,0,0,7.8958,75.0,2.0
630,0,3,1,29.69911764705882,0,0,7.7333,75.0,1.0
632,0,3,1,51.0,0,0,7.0542,75.0,2.0
634,0,1,1,29.69911764705882,0,0,0.0,75.0,2.0
637,0,3,1,32.0,0,0,7.925,75.0,2.0
638,0,2,1,31.0,1,1,26.25,75.0,2.0
640,0,3,1,29.69911764705882,1,0,16.1,75.0,2.0
641,0,3,1,20.0,0,0,7.8542,75.0,2.0
647,0,3,1,19.0,0,0,7.8958,75.0,2.0
649,0,3,1,29.69911764705882,0,0,7.55,75.0,2.0
651,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
653,0,3,1,21.0,0,0,8.4333,75.0,2.0
656,0,2,1,24.0,2,0,73.5,75.0,2.0
657,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
659,0,2,1,23.0,0,0,13.0,75.0,2.0
660,0,1,1,58.0,0,2,113.275,108.0,0.0
662,0,3,1,40.0,0,0,7.225,75.0,0.0
663,0,1,1,47.0,0,0,25.5875,132.0,2.0
664,0,3,1,36.0,0,0,7.4958,75.0,2.0
666,0,2,1,32.0,2,0,73.5,75.0,2.0
667,0,2,1,25.0,0,0,13.0,75.0,2.0
668,0,3,1,29.69911764705882,0,0,7.775,75.0,2.0
669,0,3,1,43.0,0,0,8.05,75.0,2.0
672,0,1,1,31.0,1,0,52.0,38.0,2.0
673,0,2,1,70.0,0,0,10.5,75.0,2.0
675,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
676,0,3,1,18.0,0,0,7.775,75.0,2.0
677,0,3,1,24.5,0,0,8.05,75.0,2.0
683,0,3,1,20.0,0,0,9.225,75.0,2.0
684,0,3,1,14.0,5,2,46.9,75.0,2.0
685,0,2,1,60.0,1,1,39.0,75.0,2.0
686,0,2,1,25.0,1,2,41.5792,75.0,0.0
687,0,3,1,14.0,4,1,39.6875,75.0,2.0
688,0,3,1,19.0,0,0,10.1708,75.0,2.0
689,0,3,1,18.0,0,0,7.7958,75.0,2.0
694,0,3,1,25.0,0,0,7.225,75.0,0.0
695,0,1,1,60.0,0,0,26.55,75.0,2.0
696,0,2,1,52.0,0,0,13.5,75.0,2.0
697,0,3,1,44.0,0,0,8.05,75.0,2.0
699,0,1,1,49.0,1,1,110.8833,75.0,0.0
700,0,3,1,42.0,0,0,7.65,139.0,2.0
704,0,3,1,25.0,0,0,7.7417,75.0,1.0
705,0,3,1,26.0,1,0,7.8542,75.0,2.0
706,0,2,1,39.0,0,0,26.0,75.0,2.0
712,0,1,1,29.69911764705882,0,0,26.55,56.0,2.0
714,0,3,1,29.0,0,0,9.4833,75.0,2.0
715,0,2,1,52.0,0,0,13.0,75.0,2.0
716,0,3,1,19.0,0,0,7.65,140.0,2.0
719,0,3,1,29.69911764705882,0,0,15.5,75.0,1.0
720,0,3,1,33.0,0,0,7.775,75.0,2.0
722,0,3,1,17.0,1,0,7.0542,75.0,2.0
723,0,2,1,34.0,0,0,13.0,75.0,2.0
724,0,2,1,50.0,0,0,13.0,75.0,2.0
726,0,3,1,20.0,0,0,8.6625,75.0,2.0
729,0,2,1,25.0,1,0,26.0,75.0,2.0
732,0,3,1,11.0,0,0,18.7875,75.0,0.0
733,0,2,1,29.69911764705882,0,0,0.0,75.0,2.0
734,0,2,1,23.0,0,0,13.0,75.0,2.0
735,0,2,1,23.0,0,0,13.0,75.0,2.0
736,0,3,1,28.5,0,0,16.1,75.0,2.0
739,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
740,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
742,0,1,1,36.0,1,0,78.85,67.0,2.0
744,0,3,1,24.0,1,0,16.1,75.0,2.0
746,0,1,1,70.0,1,1,71.0,20.0,2.0
747,0,3,1,16.0,1,1,20.25,75.0,2.0
749,0,1,1,19.0,1,0,53.1,100.0,2.0
750,0,3,1,31.0,0,0,7.75,75.0,1.0
753,0,3,1,33.0,0,0,9.5,75.0,2.0
754,0,3,1,23.0,0,0,7.8958,75.0,2.0
757,0,3,1,28.0,0,0,7.7958,75.0,2.0
758,0,2,1,18.0,0,0,11.5,75.0,2.0
759,0,3,1,34.0,0,0,8.05,75.0,2.0
761,0,3,1,29.69911764705882,0,0,14.5,75.0,2.0
762,0,3,1,41.0,0,0,7.125,75.0,2.0
765,0,3,1,16.0,0,0,7.775,75.0,2.0
767,0,1,1,29.69911764705882,0,0,39.6,75.0,0.0
769,0,3,1,29.69911764705882,1,0,24.15,75.0,1.0
770,0,3,1,32.0,0,0,8.3625,75.0,2.0
771,0,3,1,24.0,0,0,9.5,75.0,2.0
772,0,3,1,48.0,0,0,7.8542,75.0,2.0
774,0,3,1,29.69911764705882,0,0,7.225,75.0,0.0
776,0,3,1,18.0,0,0,7.75,75.0,2.0
777,0,3,1,29.69911764705882,0,0,7.75,143.0,1.0
779,0,3,1,29.69911764705882,0,0,7.7375,75.0,1.0
783,0,1,1,29.0,0,0,30.0,112.0,2.0
784,0,3,1,29.69911764705882,1,2,23.45,75.0,2.0
785,0,3,1,25.0,0,0,7.05,75.0,2.0
786,0,3,1,25.0,0,0,7.25,75.0,2.0
788,0,3,1,8.0,4,1,29.125,75.0,1.0
790,0,1,1,46.0,0,0,79.2,44.0,0.0
791,0,3,1,29.69911764705882,0,0,7.75,75.0,1.0
792,0,2,1,16.0,0,0,26.0,75.0,2.0
794,0,1,1,29.69911764705882,0,0,30.6958,75.0,0.0
795,0,3,1,25.0,0,0,7.8958,75.0,2.0
796,0,2,1,39.0,0,0,13.0,75.0,2.0
799,0,3,1,30.0,0,0,7.2292,75.0,0.0
801,0,2,1,34.0,0,0,13.0,75.0,2.0
806,0,3,1,31.0,0,0,7.775,75.0,2.0
807,0,1,1,39.0,0,0,0.0,11.0,2.0
809,0,2,1,39.0,0,0,13.0,75.0,2.0
811,0,3,1,26.0,0,0,7.8875,75.0,2.0
812,0,3,1,39.0,0,0,24.15,75.0,2.0
813,0,2,1,35.0,0,0,10.5,75.0,2.0
815,0,3,1,30.5,0,0,8.05,75.0,2.0
816,0,1,1,29.69911764705882,0,0,0.0,16.0,2.0
818,0,2,1,31.0,1,1,37.0042,75.0,0.0
819,0,3,1,43.0,0,0,6.45,75.0,2.0
820,0,3,1,10.0,3,2,27.9,75.0,2.0
823,0,1,1,38.0,0,0,0.0,75.0,2.0
825,0,3,1,2.0,4,1,39.6875,75.0,2.0
826,0,3,1,29.69911764705882,0,0,6.95,75.0,1.0
827,0,3,1,29.69911764705882,0,0,56.4958,75.0,2.0
833,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
834,0,3,1,23.0,0,0,7.8542,75.0,2.0
835,0,3,1,18.0,0,0,8.3,75.0,2.0
837,0,3,1,21.0,0,0,8.6625,75.0,2.0
838,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
841,0,3,1,20.0,0,0,7.925,75.0,2.0
842,0,2,1,16.0,0,0,10.5,75.0,2.0
844,0,3,1,34.5,0,0,6.4375,75.0,0.0
845,0,3,1,17.0,0,0,8.6625,75.0,2.0
846,0,3,1,42.0,0,0,7.55,75.0,2.0
847,0,3,1,29.69911764705882,8,2,69.55,75.0,2.0
848,0,3,1,35.0,0,0,7.8958,75.0,0.0
849,0,2,1,28.0,0,1,33.0,75.0,2.0
851,0,3,1,4.0,4,2,31.275,75.0,2.0
852,0,3,1,74.0,0,0,7.775,75.0,2.0
860,0,3,1,29.69911764705882,0,0,7.2292,75.0,0.0
861,0,3,1,41.0,2,0,14.1083,75.0,2.0
862,0,2,1,21.0,1,0,11.5,75.0,2.0
865,0,2,1,24.0,0,0,13.0,75.0,2.0
868,0,1,1,31.0,0,0,50.4958,6.0,2.0
869,0,3,1,29.69911764705882,0,0,9.5,75.0,2.0
871,0,3,1,26.0,0,0,7.8958,75.0,2.0
873,0,1,1,33.0,0,0,5.0,34.0,2.0
874,0,3,1,47.0,0,0,9.0,75.0,2.0
877,0,3,1,20.0,0,0,9.8458,75.0,2.0
878,0,3,1,19.0,0,0,7.8958,75.0,2.0
879,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
882,0,3,1,33.0,0,0,7.8958,75.0,2.0
884,0,2,1,28.0,0,0,10.5,75.0,2.0
885,0,3,1,25.0,0,0,7.05,75.0,2.0
887,0,2,1,27.0,0,0,13.0,75.0,2.0
891,0,3,1,32.0,0,0,7.75,75.0,1.0
