"","PassengerId","Survived","Pclass","Sex","Age","Ticket","Fare","Cabin","Cab"
"141",141,0,3,"female",29.6991176470588,"2678",15.2458,"B96 B98","C"
"142",142,1,3,"female",22,"347081",7.75,"B96 B98","C"
"143",143,1,3,"female",24,"STON/O2. 3101279",15.85,"B96 B98","C"
"144",144,0,3,"male",19,"365222",6.75,"B96 B98","C"
"145",145,0,2,"male",18,"231945",11.5,"B96 B98","C"
"146",146,0,2,"male",19,"C.A. 33112",36.75,"B96 B98","C"
"147",147,1,3,"male",27,"350043",7.7958,"B96 B98","C"
"148",148,0,3,"female",9,"W./C. 6608",34.375,"B96 B98","C"
"149",149,0,2,"male",36.5,"230080",26,"F2","F"
"150",150,0,2,"male",42,"244310",13,"B96 B98","C"
"151",151,0,2,"male",51,"S.O.P. 1166",12.525,"B96 B98","C"
"152",152,1,1,"female",22,"113776",66.6,"C2","C"
"153",153,0,3,"male",55.5,"A.5. 11206",8.05,"B96 B98","C"
"154",154,0,3,"male",40.5,"A/5. 851",14.5,"B96 B98","C"
"155",155,0,3,"male",29.6991176470588,"Fa 265302",7.3125,"B96 B98","C"
"156",156,0,1,"male",51,"PC 17597",61.3792,"B96 B98","C"
"157",157,1,3,"female",16,"35851",7.7333,"B96 B98","C"
"158",158,0,3,"male",30,"SOTON/OQ 392090",8.05,"B96 B98","C"
"159",159,0,3,"male",29.6991176470588,"315037",8.6625,"B96 B98","C"
"160",160,0,3,"male",29.6991176470588,"CA. 2343",69.55,"B96 B98","C"
"161",161,0,3,"male",44,"371362",16.1,"B96 B98","C"
"162",162,1,2,"female",40,"C.A. 33595",15.75,"B96 B98","C"
"163",163,0,3,"male",26,"347068",7.775,"B96 B98","C"
"164",164,0,3,"male",17,"315093",8.6625,"B96 B98","C"
"165",165,0,3,"male",1,"3101295",39.6875,"B96 B98","C"
"166",166,1,3,"male",9,"363291",20.525,"B96 B98","C"
"167",167,1,1,"female",29.6991176470588,"113505",55,"E33","E"
"168",168,0,3,"female",45,"347088",27.9,"B96 B98","C"
"169",169,0,1,"male",29.6991176470588,"PC 17318",25.925,"B96 B98","C"
"170",170,0,3,"male",28,"1601",56.4958,"B96 B98","C"
"171",171,0,1,"male",61,"111240",33.5,"B19","B"
"172",172,0,3,"male",4,"382652",29.125,"B96 B98","C"
"173",173,1,3,"female",1,"347742",11.1333,"B96 B98","C"
"174",174,0,3,"male",21,"STON/O 2. 3101280",7.925,"B96 B98","C"
"175",175,0,1,"male",56,"17764",30.6958,"A7","A"
"176",176,0,3,"male",18,"350404",7.8542,"B96 B98","C"
"177",177,0,3,"male",29.6991176470588,"4133",25.4667,"B96 B98","C"
"178",178,0,1,"female",50,"PC 17595",28.7125,"C49","C"
"179",179,0,2,"male",30,"250653",13,"B96 B98","C"
"180",180,0,3,"male",36,"LINE",0,"B96 B98","C"
"181",181,0,3,"female",29.6991176470588,"CA. 2343",69.55,"B96 B98","C"
"182",182,0,2,"male",29.6991176470588,"SC/PARIS 2131",15.05,"B96 B98","C"
"183",183,0,3,"male",9,"347077",31.3875,"B96 B98","C"
"184",184,1,2,"male",1,"230136",39,"F4","F"
"185",185,1,3,"female",4,"315153",22.025,"B96 B98","C"
"186",186,0,1,"male",29.6991176470588,"113767",50,"A32","A"
"187",187,1,3,"female",29.6991176470588,"370365",15.5,"B96 B98","C"
"188",188,1,1,"male",45,"111428",26.55,"B96 B98","C"
"189",189,0,3,"male",40,"364849",15.5,"B96 B98","C"
"190",190,0,3,"male",36,"349247",7.8958,"B96 B98","C"
"191",191,1,2,"female",32,"234604",13,"B96 B98","C"
"192",192,0,2,"male",19,"28424",13,"B96 B98","C"
"193",193,1,3,"female",19,"350046",7.8542,"B96 B98","C"
"194",194,1,2,"male",3,"230080",26,"F2","F"
"195",195,1,1,"female",44,"PC 17610",27.7208,"B4","B"
"196",196,1,1,"female",58,"PC 17569",146.5208,"B80","B"
"197",197,0,3,"male",29.6991176470588,"368703",7.75,"B96 B98","C"
"198",198,0,3,"male",42,"4579",8.4042,"B96 B98","C"
"199",199,1,3,"female",29.6991176470588,"370370",7.75,"B96 B98","C"
"200",200,0,2,"female",24,"248747",13,"B96 B98","C"
"201",201,0,3,"male",28,"345770",9.5,"B96 B98","C"
"202",202,0,3,"male",29.6991176470588,"CA. 2343",69.55,"B96 B98","C"
"203",203,0,3,"male",34,"3101264",6.4958,"B96 B98","C"
"204",204,0,3,"male",45.5,"2628",7.225,"B96 B98","C"
"205",205,1,3,"male",18,"A/5 3540",8.05,"B96 B98","C"
"206",206,0,3,"female",2,"347054",10.4625,"G6","G"
"207",207,0,3,"male",32,"3101278",15.85,"B96 B98","C"
"208",208,1,3,"male",26,"2699",18.7875,"B96 B98","C"
"209",209,1,3,"female",16,"367231",7.75,"B96 B98","C"
"210",210,1,1,"male",40,"112277",31,"A31","A"
"211",211,0,3,"male",24,"SOTON/O.Q. 3101311",7.05,"B96 B98","C"
"212",212,1,2,"female",35,"F.C.C. 13528",21,"B96 B98","C"
"213",213,0,3,"male",22,"A/5 21174",7.25,"B96 B98","C"
"214",214,0,2,"male",30,"250646",13,"B96 B98","C"
"215",215,0,3,"male",29.6991176470588,"367229",7.75,"B96 B98","C"
"216",216,1,1,"female",31,"35273",113.275,"D36","D"
"217",217,1,3,"female",27,"STON/O2. 3101283",7.925,"B96 B98","C"
"218",218,0,2,"male",42,"243847",27,"B96 B98","C"
"219",219,1,1,"female",32,"11813",76.2917,"D15","D"
"220",220,0,2,"male",30,"W/C 14208",10.5,"B96 B98","C"
"221",221,1,3,"male",16,"SOTON/OQ 392089",8.05,"B96 B98","C"
"222",222,0,2,"male",27,"220367",13,"B96 B98","C"
"223",223,0,3,"male",51,"21440",8.05,"B96 B98","C"
"224",224,0,3,"male",29.6991176470588,"349234",7.8958,"B96 B98","C"
"225",225,1,1,"male",38,"19943",90,"C93","C"
"226",226,0,3,"male",22,"PP 4348",9.35,"B96 B98","C"
"227",227,1,2,"male",19,"SW/PP 751",10.5,"B96 B98","C"
"228",228,0,3,"male",20.5,"A/5 21173",7.25,"B96 B98","C"
"229",229,0,2,"male",18,"236171",13,"B96 B98","C"
"230",230,0,3,"female",29.6991176470588,"4133",25.4667,"B96 B98","C"
"231",231,1,1,"female",35,"36973",83.475,"C83","C"
"232",232,0,3,"male",29,"347067",7.775,"B96 B98","C"
"233",233,0,2,"male",59,"237442",13.5,"B96 B98","C"
"234",234,1,3,"female",5,"347077",31.3875,"B96 B98","C"
"235",235,0,2,"male",24,"C.A. 29566",10.5,"B96 B98","C"
"236",236,0,3,"female",29.6991176470588,"W./C. 6609",7.55,"B96 B98","C"
"237",237,0,2,"male",44,"26707",26,"B96 B98","C"
"238",238,1,2,"female",8,"C.A. 31921",26.25,"B96 B98","C"
"239",239,0,2,"male",19,"28665",10.5,"B96 B98","C"
"240",240,0,2,"male",33,"SCO/W 1585",12.275,"B96 B98","C"
"241",241,0,3,"female",29.6991176470588,"2665",14.4542,"B96 B98","C"
"242",242,1,3,"female",29.6991176470588,"367230",15.5,"B96 B98","C"
"243",243,0,2,"male",29,"W./C. 14263",10.5,"B96 B98","C"
"244",244,0,3,"male",22,"STON/O 2. 3101275",7.125,"B96 B98","C"
"245",245,0,3,"male",30,"2694",7.225,"B96 B98","C"
"246",246,0,1,"male",44,"19928",90,"C78","C"
"247",247,0,3,"female",25,"347071",7.775,"B96 B98","C"
"248",248,1,2,"female",24,"250649",14.5,"B96 B98","C"
"249",249,1,1,"male",37,"11751",52.5542,"D35","D"
"250",250,0,2,"male",54,"244252",26,"B96 B98","C"
"251",251,0,3,"male",29.6991176470588,"362316",7.25,"B96 B98","C"
"252",252,0,3,"female",29,"347054",10.4625,"G6","G"
"253",253,0,1,"male",62,"113514",26.55,"C87","C"
"254",254,0,3,"male",30,"A/5. 3336",16.1,"B96 B98","C"
"255",255,0,3,"female",41,"370129",20.2125,"B96 B98","C"
"256",256,1,3,"female",29,"2650",15.2458,"B96 B98","C"
"257",257,1,1,"female",29.6991176470588,"PC 17585",79.2,"B96 B98","C"
"258",258,1,1,"female",30,"110152",86.5,"B77","B"
"259",259,1,1,"female",35,"PC 17755",512.3292,"B96 B98","C"
"260",260,1,2,"female",50,"230433",26,"B96 B98","C"
"261",261,0,3,"male",29.6991176470588,"384461",7.75,"B96 B98","C"
"262",262,1,3,"male",3,"347077",31.3875,"B96 B98","C"
"263",263,0,1,"male",52,"110413",79.65,"E67","E"
"264",264,0,1,"male",40,"112059",0,"B94","B"
"265",265,0,3,"female",29.6991176470588,"382649",7.75,"B96 B98","C"
"266",266,0,2,"male",36,"C.A. 17248",10.5,"B96 B98","C"
"267",267,0,3,"male",16,"3101295",39.6875,"B96 B98","C"
"268",268,1,3,"male",25,"347083",7.775,"B96 B98","C"
"269",269,1,1,"female",58,"PC 17582",153.4625,"C125","C"
"270",270,1,1,"female",35,"PC 17760",135.6333,"C99","C"
"271",271,0,1,"male",29.6991176470588,"113798",31,"B96 B98","C"
"272",272,1,3,"male",25,"LINE",0,"B96 B98","C"
"273",273,1,2,"female",41,"250644",19.5,"B96 B98","C"
"274",274,0,1,"male",37,"PC 17596",29.7,"C118","C"
"275",275,1,3,"female",29.6991176470588,"370375",7.75,"B96 B98","C"
"276",276,1,1,"female",63,"13502",77.9583,"D7","D"
"277",277,0,3,"female",45,"347073",7.75,"B96 B98","C"
"278",278,0,2,"male",29.6991176470588,"239853",0,"B96 B98","C"
"279",279,0,3,"male",7,"382652",29.125,"B96 B98","C"
"280",280,1,3,"female",35,"C.A. 2673",20.25,"B96 B98","C"
"281",281,0,3,"male",65,"336439",7.75,"B96 B98","C"
"282",282,0,3,"male",28,"347464",7.8542,"B96 B98","C"
"283",283,0,3,"male",16,"345778",9.5,"B96 B98","C"
"284",284,1,3,"male",19,"A/5. 10482",8.05,"B96 B98","C"
"285",285,0,1,"male",29.6991176470588,"113056",26,"A19","A"
"286",286,0,3,"male",33,"349239",8.6625,"B96 B98","C"
"287",287,1,3,"male",30,"345774",9.5,"B96 B98","C"
"288",288,0,3,"male",22,"349206",7.8958,"B96 B98","C"
"289",289,1,2,"male",42,"237798",13,"B96 B98","C"
"290",290,1,3,"female",22,"370373",7.75,"B96 B98","C"
"291",291,1,1,"female",26,"19877",78.85,"B96 B98","C"
"292",292,1,1,"female",19,"11967",91.0792,"B49","B"
"293",293,0,2,"male",36,"SC/Paris 2163",12.875,"D","D"
"294",294,0,3,"female",24,"349236",8.85,"B96 B98","C"
"295",295,0,3,"male",24,"349233",7.8958,"B96 B98","C"
"296",296,0,1,"male",29.6991176470588,"PC 17612",27.7208,"B96 B98","C"
"297",297,0,3,"male",23.5,"2693",7.2292,"B96 B98","C"
"298",298,0,1,"female",2,"113781",151.55,"C22 C26","C"
"299",299,1,1,"male",29.6991176470588,"19988",30.5,"C106","C"
"300",300,1,1,"female",50,"PC 17558",247.5208,"B58 B60","B"
"301",301,1,3,"female",29.6991176470588,"9234",7.75,"B96 B98","C"
"302",302,1,3,"male",29.6991176470588,"367226",23.25,"B96 B98","C"
"303",303,0,3,"male",19,"LINE",0,"B96 B98","C"
"304",304,1,2,"female",29.6991176470588,"226593",12.35,"E101","E"
"305",305,0,3,"male",29.6991176470588,"A/5 2466",8.05,"B96 B98","C"
"306",306,1,1,"male",0.92,"113781",151.55,"C22 C26","C"
"307",307,1,1,"female",29.6991176470588,"17421",110.8833,"B96 B98","C"
"308",308,1,1,"female",17,"PC 17758",108.9,"C65","C"
"309",309,0,2,"male",30,"P/PP 3381",24,"B96 B98","C"
"310",310,1,1,"female",30,"PC 17485",56.9292,"E36","E"
"311",311,1,1,"female",24,"11767",83.1583,"C54","C"
"312",312,1,1,"female",18,"PC 17608",262.375,"B57 B59 B63 B66","B"
"313",313,0,2,"female",26,"250651",26,"B96 B98","C"
"314",314,0,3,"male",28,"349243",7.8958,"B96 B98","C"
"315",315,0,2,"male",43,"F.C.C. 13529",26.25,"B96 B98","C"
"316",316,1,3,"female",26,"347470",7.8542,"B96 B98","C"
"317",317,1,2,"female",24,"244367",26,"B96 B98","C"
"318",318,0,2,"male",54,"29011",14,"B96 B98","C"
"319",319,1,1,"female",31,"36928",164.8667,"C7","C"
"320",320,1,1,"female",40,"16966",134.5,"E34","E"
"321",321,0,3,"male",22,"A/5 21172",7.25,"B96 B98","C"
"322",322,0,3,"male",27,"349219",7.8958,"B96 B98","C"
"323",323,1,2,"female",30,"234818",12.35,"B96 B98","C"
"324",324,1,2,"female",22,"248738",29,"B96 B98","C"
"325",325,0,3,"male",29.6991176470588,"CA. 2343",69.55,"B96 B98","C"
"326",326,1,1,"female",36,"PC 17760",135.6333,"C32","C"
"327",327,0,3,"male",61,"345364",6.2375,"B96 B98","C"
"328",328,1,2,"female",36,"28551",13,"D","D"
"329",329,1,3,"female",31,"363291",20.525,"B96 B98","C"
"330",330,1,1,"female",16,"111361",57.9792,"B18","B"
"331",331,1,3,"female",29.6991176470588,"367226",23.25,"B96 B98","C"
"332",332,0,1,"male",45.5,"113043",28.5,"C124","C"
"333",333,0,1,"male",38,"PC 17582",153.4625,"C91","C"
"334",334,0,3,"male",16,"345764",18,"B96 B98","C"
"335",335,1,1,"female",29.6991176470588,"PC 17611",133.65,"B96 B98","C"
"336",336,0,3,"male",29.6991176470588,"349225",7.8958,"B96 B98","C"
"337",337,0,1,"male",29,"113776",66.6,"C2","C"
"338",338,1,1,"female",41,"16966",134.5,"E40","E"
"339",339,1,3,"male",45,"7598",8.05,"B96 B98","C"
"340",340,0,1,"male",45,"113784",35.5,"T","T"
"341",341,1,2,"male",2,"230080",26,"F2","F"
"342",342,1,1,"female",24,"19950",263,"C23 C25 C27","C"
"343",343,0,2,"male",28,"248740",13,"B96 B98","C"
"344",344,0,2,"male",25,"244361",13,"B96 B98","C"
"345",345,0,2,"male",36,"229236",13,"B96 B98","C"
"346",346,1,2,"female",24,"248733",13,"F33","F"
"347",347,1,2,"female",40,"31418",13,"B96 B98","C"
"348",348,1,3,"female",29.6991176470588,"386525",16.1,"B96 B98","C"
"349",349,1,3,"male",3,"C.A. 37671",15.9,"B96 B98","C"
"350",350,0,3,"male",42,"315088",8.6625,"B96 B98","C"
"351",351,0,3,"male",23,"7267",9.225,"B96 B98","C"
"352",352,0,1,"male",29.6991176470588,"113510",35,"C128","C"
"353",353,0,3,"male",15,"2695",7.2292,"B96 B98","C"
"354",354,0,3,"male",25,"349237",17.8,"B96 B98","C"
"355",355,0,3,"male",29.6991176470588,"2647",7.225,"B96 B98","C"
"356",356,0,3,"male",28,"345783",9.5,"B96 B98","C"
"357",357,1,1,"female",22,"113505",55,"E33","E"
"358",358,0,2,"female",38,"237671",13,"B96 B98","C"
"359",359,1,3,"female",29.6991176470588,"330931",7.8792,"B96 B98","C"
"360",360,1,3,"female",29.6991176470588,"330980",7.8792,"B96 B98","C"
"361",361,0,3,"male",40,"347088",27.9,"B96 B98","C"
"362",362,0,2,"male",29,"SC/PARIS 2167",27.7208,"B96 B98","C"
"363",363,0,3,"female",45,"2691",14.4542,"B96 B98","C"
"364",364,0,3,"male",35,"SOTON/O.Q. 3101310",7.05,"B96 B98","C"
"365",365,0,3,"male",29.6991176470588,"370365",15.5,"B96 B98","C"
"366",366,0,3,"male",30,"C 7076",7.25,"B96 B98","C"
"367",367,1,1,"female",60,"110813",75.25,"D37","D"
"368",368,1,3,"female",29.6991176470588,"2626",7.2292,"B96 B98","C"
"369",369,1,3,"female",29.6991176470588,"14313",7.75,"B96 B98","C"
"370",370,1,1,"female",24,"PC 17477",69.3,"B35","B"
"371",371,1,1,"male",25,"11765",55.4417,"E50","E"
"372",372,0,3,"male",18,"3101267",6.4958,"B96 B98","C"
"373",373,0,3,"male",19,"323951",8.05,"B96 B98","C"
"374",374,0,1,"male",22,"PC 17760",135.6333,"B96 B98","C"
"375",375,0,3,"female",3,"349909",21.075,"B96 B98","C"
"376",376,1,1,"female",29.6991176470588,"PC 17604",82.1708,"B96 B98","C"
"377",377,1,3,"female",22,"C 7077",7.25,"B96 B98","C"
"378",378,0,1,"male",27,"113503",211.5,"C82","C"
"379",379,0,3,"male",20,"2648",4.0125,"B96 B98","C"
"380",380,0,3,"male",19,"347069",7.775,"B96 B98","C"
"381",381,1,1,"female",42,"PC 17757",227.525,"B96 B98","C"
"382",382,1,3,"female",1,"2653",15.7417,"B96 B98","C"
"383",383,0,3,"male",32,"STON/O 2. 3101293",7.925,"B96 B98","C"
"384",384,1,1,"female",35,"113789",52,"B96 B98","C"
"385",385,0,3,"male",29.6991176470588,"349227",7.8958,"B96 B98","C"
"386",386,0,2,"male",18,"S.O.C. 14879",73.5,"B96 B98","C"
"387",387,0,3,"male",1,"CA 2144",46.9,"B96 B98","C"
"388",388,1,2,"female",36,"27849",13,"B96 B98","C"
"389",389,0,3,"male",29.6991176470588,"367655",7.7292,"B96 B98","C"
"390",390,1,2,"female",17,"SC 1748",12,"B96 B98","C"
"391",391,1,1,"male",36,"113760",120,"B96 B98","B"
"392",392,1,3,"male",21,"350034",7.7958,"B96 B98","C"
"393",393,0,3,"male",28,"3101277",7.925,"B96 B98","C"
"394",394,1,1,"female",23,"35273",113.275,"D36","D"
"395",395,1,3,"female",24,"PP 9549",16.7,"G6","G"
"396",396,0,3,"male",22,"350052",7.7958,"B96 B98","C"
"397",397,0,3,"female",31,"350407",7.8542,"B96 B98","C"
"398",398,0,2,"male",46,"28403",26,"B96 B98","C"
"399",399,0,2,"male",23,"244278",10.5,"B96 B98","C"
"400",400,1,2,"female",28,"240929",12.65,"B96 B98","C"
"401",401,1,3,"male",39,"STON/O 2. 3101289",7.925,"B96 B98","C"
"402",402,0,3,"male",26,"341826",8.05,"B96 B98","C"
"403",403,0,3,"female",21,"4137",9.825,"B96 B98","C"
"404",404,0,3,"male",28,"STON/O2. 3101279",15.85,"B96 B98","C"
"405",405,0,3,"female",20,"315096",8.6625,"B96 B98","C"
"406",406,0,2,"male",34,"28664",21,"B96 B98","C"
"407",407,0,3,"male",51,"347064",7.75,"B96 B98","C"
"408",408,1,2,"male",3,"29106",18.75,"B96 B98","C"
